item	Corpus	Word	PW	Mask	n_letters_trgt	n_letters_orth	n_letters_mask	Sentence	Length_chars	Length_words	Fits_on_screen	Word_N 	Word_N_length	Word_N1_length	Question	Answer	Has_quest	N_pos	N1_pos
83	Old	cleat	clert	akusb	5	5	5	The sailor secured his boat to the brass cleat on the dock and then headed home.	80	16	Yes	brass	5	5			0	8	9
84	Old	terse	tarse	baceu	5	5	5	The CEO gave his secretary several terse instructions and then left the office.	79	13	Yes	several	7	5			0	6	7
85	Old	fern	farn	kaza	4	4	4	The cottage was surrounded by dense fern vegetation that had not been trimmed in years.	87	15	Yes	dense	5	4			0	6	7
86	Old	deal	derl	famb	4	4	4	Jasmine found a great deal online and treated herself to a spa holiday.	71	13	Yes	great	5	4			0	4	5
87	Old	sheen	shern	adozc	5	5	5	The artist wore a satin dress with a slight sheen that was made for the performance.	84	16	Yes	slight	6	5			0	9	10
88	Old	lynx	lonx	bgae	4	4	4	The children's most vivid memory of the zoo was the wild lynx sitting on a tree.	80	16	Yes	wild	4	4			0	11	12
89	Old	cease	cerse	rovwu	5	5	5	The report warned that without protection the species would cease to exist in a decade.	87	15	Yes	would	5	5			0	9	10
90	Old	weep	werp	nacg	4	4	4	Marina had a good weep after watching the sad movie drama last night.	69	13	Yes	good	4	4			0	4	5
91	Old	meek	meck	vowf	4	4	4	Brad was a very meek person who never got into arguments with his colleagues.	77	14	Yes	very	4	4			0	4	5
92	Old	keep	kerp	iamy	4	4	4	Mary's children were old enough to earn their keep and decided to rent their own flat.	86	16	Yes	their	5	4			0	8	9
93	Old	neat	nert	zawb	4	4	4	The girl always tried to keep her clothes neat and clean when playing outside.	78	14	Yes	clothes	7	4			0	8	9
94	Old	gross	grosh	paune	5	5	5	The news of the rising gross sales inspired confidence in the future of the company.	84	15	Yes	rising	6	5			0	5	6
95	Old	whirl	wharl	akdei	5	5	5	Lisa spent her holiday in a social whirl of activities that freed her mind from work.	85	16	Yes	social	6	5			0	7	8
96	Old	teal	terl	lozt	4	4	4	Betty thought that the light teal curtains would be a good addition to her bedroom.	83	15	Yes	light	5	4			0	5	6
97	Old	worth	warth	cusbt	5	5	5	According to some people, investing in real estate is well worth the money.	75	13	Yes	well	4	5			0	10	11
98	Old	seethe	serthe	cosifu	6	6	6	The children were afraid when they saw the ocean seethe restlessly beneath them.	80	13	Yes	ocean	5	6			0	9	10
99	Old	work	wark	muzb	4	4	4	After he left work on Friday, Alex headed to the pub to catch up with his friends.	82	17	Yes	left	4	4			0	3	4
100	Old	dwarf	dwerf	kauwb	5	5	5	The new movie features a peaceful dwarf who tries to unite his kingdom.	71	13	Yes	peaceful	8	5			0	6	7
101	Old	prove	prive	yeemo	5	5	5	The scientists could finally prove that the newly discovered substance is not toxic.	84	13	Yes	finally	7	5			0	4	5
102	Old	churn	charn	ebano	5	5	5	Visiting the dentist always made Zoe's stomach churn for the whole morning.	75	12	Yes	stomach	7	5			0	7	8
103	New	bump	bemp	dosj	4	4	4	Johan gave his younger brother a fist bump after he won the swimming competition.	81	14	Yes	fist	4	4			0	7	8
104	New	nine	nipe	ofoa	4	4	4	The team needs to play much better during the last nine minutes if they want to win.	84	17	Yes	last	4	4			0	10	11
105	New	horn	harn	kuca	4	4	4	The sound from the large horn echoed through the green valley.	62	11	Yes	large	5	4			0	5	6
106	New	sash	sush	zuwk	4	4	4	The beauty queen wore a gorgeous sash over her elegant red gown.	64	12	Yes	gorgeous	8	4			0	6	7
107	New	spit	spim	aqld	4	4	4	The teacher told the child to first spit out his gum and then answer the question.	82	16	Yes	first	5	4			0	7	8
108	New	rake	ruke	voiu	4	4	4	He bought a large plastic rake to gather the fallen leaves in his front garden.	79	15	Yes	plastic	7	4			0	5	6
109	New	reap	reat	zovy	4	4	4	The athlete believed she would reap the rewards of all her training when she competed.	86	15	Yes	would	5	4			0	5	6
110	New	plum	prum	yfos	4	4	4	The child enjoyed eating the ripe plum she had picked from the tree.	68	13	Yes	ripe	4	4			0	6	7
111	New	noon	noom	serz	4	4	4	The CEO arrived just before noon and took the seat at the head of the table.	76	16	Yes	before	6	4			0	5	6
112	New	musk	musp	ravh	4	4	4	The man applied musk to the collar of his shirt before his date.	64	13	Yes	applied	7	4			0	3	4
113	New	blast	blask	kdevi	5	5	5	The engineers made sure the dynamite would blast straight through the rock.	75	12	Yes	would	5	5			0	7	8
114	New	brawl	blawl	feumb	5	5	5	James loved a tavern brawl despite having often landed in hospital afterwards.	78	12	Yes	tavern	6	5			0	4	5
115	New	chalk	chalf	ubufh	5	5	5	The boy knew he shouldn't have eaten chalk again and began to cry.	66	13	Yes	eaten	5	5			0	7	8
116	New	claim	claic	udedo	5	5	5	The prospector knew that his land claim would require a lot of paperwork.	73	13	Yes	land	4	5			0	6	7
117	New	faint	failt	leduk	5	5	5	The stranger began to feel faint at the sight of his own blood.	63	13	Yes	feel	4	5			0	5	6
118	New	flake	flate	bhodu	5	5	5	Jenny saw the first snow flake of winter and braced herself for the cold weather.	81	15	Yes	snow	4	5			0	5	6
119	New	flood	floop	hiezi	5	5	5	All the towns people knew about the great flood that had destroyed the town in 1912.	84	16	Yes	great	5	5			0	8	9
120	New	frame	frape	tuosu	5	5	5	The fraudster knew that he could frame his brother for his many crimes.	71	13	Yes	could	5	5			0	6	7
121	New	glade	glane	ptobo	5	5	5	The deer were grazing in the grassy glade in the middle of the woods.	69	14	Yes	grassy	6	5			0	7	8
122	New	truth	treth	boekb	5	5	5	The detective found the horrible truth when he opened the door.	63	11	Yes	horrible	8	5			0	5	6
123	New	trunk	trenk	laomh	5	5	5	The sailor fastened his large trunk so that it would not shift when the boat swayed.	84	16	Yes	large	5	5			0	5	6
124	New	sweet	sweec	aouzk	5	5	5	Carmen thought her husband’s gift was very sweet and she thanked him for it.	76	14	Yes	very	4	5			0	7	8
125	New	slate	swate	okufu	5	5	5	The quarry produced slate to be used in the construction of houses.	67	12	Yes	produced	8	5			0	3	4
126	New	strut	strot	ekoob	5	5	5	The roof had fallen in after a support strut had been damaged by termites.	74	14	Yes	support	7	5			0	8	9
127	New	speed	speeb	ujark	5	5	5	The car raced around the corner with great speed and roared up the road.	72	14	Yes	great	5	5			0	8	9
128	New	pulse	pulve	yatau	5	5	5	The accident victim's pulse was shallow but steady when he was put in the ambulance.	84	15	Yes	victim's	8	5			0	3	4
129	New	prone	pryne	yauza	5	5	5	The bandit was lying prone so that the police would not see him.	64	13	Yes	lying	5	5			0	4	5
130	New	marsh	mersh	cenub	5	5	5	It was unwise to go out at night as the salt marsh around the house was dangerous.	82	17	Yes	salt	4	5			0	11	12
131	New	shelf	shelk	abudk	5	5	5	Abby was going to take down the ugly shelf in the corner of her living room.	76	16	Yes	ugly	4	5			0	8	9
132	New	plate	plafe	jdeku	5	5	5	The restaurant critic noted the clean plate and silverware on the table.	72	12	Yes	clean	5	5			0	6	7
133	New	drive	drise	hufoa	5	5	5	Even though it was just a short drive to the store, Mike ran out of petrol.	75	16	Yes	short	5	5			0	7	8
134	New	flinch	flince	kdtueb	6	6	6	The bully watched the child flinch when he acted like he was going to punch him.	80	16	Yes	child	5	6			0	5	6
135	New	clench	clonch	atoxob	6	6	6	When Jane saw the slow clench of his fists, she realised that the man is getting angry.	87	17	Yes	slow	4	6			0	5	6
136	New	client	crient	akfusd	6	6	6	They lost millions when the wealthy client decided to take his business elsewhere.	82	13	Yes	wealthy	7	6			0	6	7
137	New	slouch	slooch	aierwb	6	6	6	They saw the judge slouch in her chair just before she fell asleep.	67	13	Yes	judge	5	6			0	4	5
138	New	groove	groose	quamsu	6	6	6	Edmond thought the music had a really funky groove that made him want to dance.	79	15	Yes	funky	5	6			0	8	9
139	Old							She is the author of a series of successful high school biology textbooks.				successful	10	0	Does she write poetry books?	0	1	9	10
140	Old							In the end, the show had to be cancelled due to its sinking ratings.				be	2	0	Was the show cancelled?	1	1	8	9
141	Old							Last week, Anna spent hours on the phone with her friend.				the	3	0			0	7	8
142	Old							Recovering from the recession proved to be very challenging for the small country.				recession	9	0	Was it easy to recover from the recession?	0	1	4	5
143	Old							The dangerous political situation forced many activists to emigrate.				forced	6	0			0	5	6
144	Old							The castle attracted many visitors from abroad, even when it was still in ruins.				from	4	0			0	6	7
